vertex,label
0,206
1,124
2,131
3,180
4,51
5,8
6,219
7,54
8,134
9,7
10,57
11,42
12,200
13,4
14,136
15,109
16,143
17,100
18,139
19,1
20,26
21,121
22,155
23,80
24,149
25,18
26,24
27,28
28,82
29,105
30,171
31,2
32,6
33,157
34,29
35,140
36,160
37,61
38,142
39,108
40,13
41,141
42,135
43,194
44,10
45,174
46,148
47,115
48,55
49,193
50,22
51,0
52,110
53,41
54,17
55,161
56,199
57,107
58,162
59,207
60,152
61,65
62,37
63,129
64,169
65,191
66,208
67,60
68,164
69,35
70,218
71,189
72,66
73,94
74,202
75,165
76,34
77,36
78,3
79,101
80,64
81,43
82,47
83,72
84,11
85,178
86,186
87,102
88,103
89,198
90,12
91,215
92,145
93,159
94,87
95,172
96,176
97,182
98,98
99,185
100,119
101,48
102,177
103,130
104,79
105,154
106,16
107,183
108,156
109,68
110,195
111,104
112,204
113,181
114,167
115,23
116,146
117,217
118,175
119,214
120,19
121,213
122,197
123,113
124,168
125,92
126,44
127,166
128,86
129,211
130,196
131,78
132,71
133,144
134,9
135,76
136,81
137,21
138,63
139,84
140,112
141,212
142,96
143,25
144,153
145,90
146,179
147,173
148,70
149,170
150,190
151,67
152,69
153,59
154,89
155,116
156,210
157,39
158,85
159,151
160,201
161,30
162,106
163,93
164,33
165,117
166,137
167,125
168,27
169,50
170,111
171,209
172,187
173,138
174,122
175,32
176,56
177,45
178,120
179,99
180,118
181,46
182,188
183,132
184,128
185,40
186,133
187,216
188,205
189,31
190,184
191,73
192,123
193,147
194,58
195,62
196,15
197,77
198,83
199,126
200,91
201,53
202,75
203,192
204,5
205,127
206,95
207,38
208,52
209,97
210,150
211,114
212,74
213,158
214,14
215,163
216,203
217,20
