vertex,label
0,650
1,630
2,356
3,415
4,541
5,82
6,755
7,388
8,176
9,789
10,162
11,669
12,550
13,358
14,510
15,225
16,84
17,611
18,429
19,416
20,177
21,490
22,59
23,910
24,296
25,791
26,795
27,360
28,668
29,209
30,255
31,928
32,361
33,727
34,884
35,438
36,796
37,632
38,328
39,436
40,178
41,226
42,489
43,61
44,31
45,195
46,247
47,188
48,671
49,463
50,555
51,269
52,754
53,512
54,614
55,905
56,756
57,139
58,362
59,228
60,464
61,588
62,199
63,337
64,313
65,359
66,743
67,19
68,272
69,389
70,466
71,553
72,160
73,491
74,21
75,390
76,726
77,923
78,728
79,363
80,812
81,556
82,276
83,797
84,211
85,769
86,714
87,672
88,391
89,0
90,846
91,3
92,780
93,798
94,613
95,589
96,52
97,542
98,749
99,674
100,212
101,799
102,713
103,45
104,926
105,191
106,544
107,492
108,227
109,516
110,222
111,22
112,901
113,826
114,410
115,745
116,543
117,800
118,689
119,837
120,364
121,365
122,25
123,367
124,98
125,758
126,538
127,515
128,591
129,278
130,558
131,885
132,393
133,774
134,315
135,557
136,467
137,338
138,691
139,781
140,299
141,468
142,256
143,692
144,652
145,615
146,15
147,917
148,900
149,316
150,673
151,277
152,518
153,715
154,99
155,560
156,279
157,916
158,229
159,717
160,418
161,253
162,690
163,334
164,693
165,124
166,26
167,562
168,746
169,634
170,366
171,869
172,593
173,53
174,417
175,592
176,730
177,716
178,847
179,89
180,368
181,230
182,101
183,85
184,814
185,120
186,633
187,30
188,392
189,918
190,413
191,839
192,470
193,494
194,281
195,38
196,439
197,487
198,340
199,676
200,731
201,559
202,852
203,564
204,63
205,496
206,175
207,757
208,472
209,62
210,718
211,213
212,462
213,827
214,733
215,517
216,635
217,215
218,782
219,440
220,670
221,179
222,616
223,216
224,565
225,34
226,339
227,197
228,919
229,122
230,636
231,617
232,282
233,870
234,618
235,694
236,520
237,164
238,231
239,102
240,719
241,111
242,619
243,369
244,312
245,620
246,232
247,113
248,902
249,877
250,784
251,258
252,180
253,284
254,649
255,872
256,653
257,257
258,760
259,594
260,621
261,874
262,259
263,441
264,233
265,909
266,114
267,493
268,235
269,14
270,57
271,519
272,540
273,813
274,906
275,546
276,720
277,395
278,495
279,234
280,96
281,622
282,46
283,100
284,590
285,153
286,561
287,785
288,125
289,888
290,260
291,103
292,771
293,126
294,301
295,521
296,825
297,802
298,595
299,597
300,64
301,678
302,442
303,166
304,742
305,523
306,623
307,840
308,298
309,804
310,317
311,829
312,729
313,341
314,314
315,27
316,598
317,397
318,419
319,925
320,748
321,236
322,762
323,444
324,163
325,127
326,443
327,522
328,596
329,469
330,696
331,116
332,773
333,420
334,860
335,446
336,545
337,744
338,249
339,759
340,474
341,651
342,524
343,143
344,563
345,44
346,471
347,238
348,861
349,853
350,497
351,80
352,498
353,394
354,721
355,237
356,806
357,91
358,318
359,734
360,473
361,319
362,476
363,286
364,262
365,168
366,240
367,396
368,828
369,280
370,638
371,300
372,680
373,165
374,86
375,370
376,801
377,285
378,371
379,695
380,399
381,74
382,499
383,6
384,912
385,35
386,264
387,639
388,320
389,104
390,697
391,303
392,170
393,886
394,321
395,654
396,128
397,342
398,400
399,862
400,761
401,445
402,525
403,448
404,42
405,145
406,698
407,656
408,677
409,198
410,465
411,681
412,105
413,304
414,372
415,854
416,477
417,129
418,182
419,723
420,599
421,251
422,624
423,344
424,475
425,526
426,146
427,566
428,450
429,500
430,700
431,699
432,848
433,478
434,115
435,451
436,373
437,626
438,217
439,682
440,239
441,375
442,600
443,892
444,452
445,322
446,831
447,71
448,809
449,131
450,502
451,453
452,863
453,842
454,567
455,547
456,927
457,408
458,401
459,343
460,241
461,200
462,808
463,724
464,750
465,775
466,865
467,894
468,403
469,873
470,777
471,751
472,421
473,641
474,679
475,637
476,193
477,283
478,778
479,702
480,875
481,323
482,548
483,405
484,867
485,196
486,658
487,376
488,54
489,527
490,568
491,346
492,815
493,447
494,39
495,5
496,529
497,655
498,855
499,786
500,406
501,167
502,830
503,106
504,288
505,570
506,287
507,266
508,832
509,602
510,871
511,398
512,423
513,377
514,242
515,530
516,763
517,504
518,407
519,16
520,643
521,765
522,601
523,66
524,907
525,132
526,424
527,531
528,2
529,41
530,147
531,18
532,640
533,48
534,701
535,533
536,913
537,49
538,88
539,422
540,455
541,776
542,36
543,348
544,117
545,644
546,325
547,93
548,703
549,268
550,645
551,144
552,532
553,350
554,243
555,549
556,683
557,569
558,184
559,857
560,764
561,352
562,9
563,118
564,119
565,92
566,327
567,148
568,922
569,805
570,646
571,172
572,169
573,1
574,186
575,305
576,505
577,379
578,479
579,56
580,218
581,324
582,704
583,732
584,112
585,657
586,706
587,878
588,7
589,149
590,65
591,880
592,881
593,879
594,151
595,345
596,380
597,402
598,349
599,121
600,816
601,261
602,90
603,47
604,329
605,404
606,735
607,270
608,708
609,425
610,20
611,134
612,571
613,152
614,456
615,642
616,290
617,24
618,788
619,660
620,625
621,506
622,501
623,766
624,17
625,903
626,747
627,480
628,662
629,890
630,866
631,849
632,887
633,55
634,551
635,43
636,219
637,306
638,291
639,573
640,893
641,381
642,75
643,150
644,574
645,675
646,77
647,482
648,331
649,154
650,552
651,508
652,457
653,292
654,481
655,156
656,843
657,79
658,351
659,528
660,58
661,767
662,648
663,737
664,133
665,108
666,201
667,603
668,458
669,503
670,130
671,790
672,214
673,659
674,220
675,803
676,426
677,307
678,374
679,382
680,576
681,914
682,136
683,109
684,449
685,722
686,817
687,181
688,736
689,856
690,244
691,859
692,578
693,333
694,833
695,705
696,739
697,741
698,627
699,326
700,908
701,647
702,915
703,384
704,171
705,664
706,187
707,882
708,158
709,203
710,221
711,604
712,858
713,864
714,354
715,294
716,663
717,205
718,335
719,876
720,189
721,850
722,10
723,783
724,289
725,40
726,37
727,409
728,428
729,159
730,12
731,661
732,787
733,67
734,138
735,835
736,51
737,740
738,904
739,535
740,841
741,190
742,192
743,202
744,223
745,483
746,580
747,263
748,536
749,267
750,204
751,605
752,69
753,684
754,572
755,818
756,194
757,921
758,606
759,582
760,411
761,579
762,685
763,271
764,686
765,246
766,819
767,507
768,752
769,738
770,383
771,87
772,810
773,768
774,73
775,110
776,707
777,207
778,575
779,845
780,485
781,534
782,140
783,302
784,895
785,353
786,607
787,770
788,581
789,78
790,76
791,459
792,868
793,11
794,330
795,248
796,710
797,107
798,792
799,157
800,629
801,807
802,137
803,897
804,577
805,924
806,460
807,454
808,308
809,834
810,250
811,412
812,245
813,430
814,414
815,161
816,32
817,50
818,385
819,486
820,378
821,608
822,883
823,793
824,712
825,81
826,70
827,836
828,183
829,273
830,123
831,753
832,13
833,821
834,628
835,609
836,484
837,610
838,265
839,851
840,688
841,509
842,355
843,83
844,432
845,666
846,433
847,583
848,820
849,386
850,309
851,208
852,794
853,772
854,431
855,511
856,896
857,920
858,537
859,135
860,838
861,173
862,8
863,185
864,667
865,23
866,141
867,295
868,336
869,779
870,275
871,585
872,631
873,252
874,224
875,95
876,60
877,427
878,357
879,725
880,434
881,898
882,584
883,347
884,811
885,911
886,513
887,94
888,586
889,587
890,488
891,4
892,687
893,174
894,254
895,97
896,274
897,310
898,72
899,889
900,554
901,844
902,612
903,891
904,899
905,822
906,461
907,297
908,709
909,539
910,514
911,206
912,665
913,210
914,435
915,437
916,293
917,332
918,155
919,311
920,28
921,823
922,387
923,142
924,824
925,33
926,711
927,68
928,29
