vertex,label
0,94
1,38
2,190
3,141
4,192
5,362
6,349
7,320
8,300
9,31
10,264
11,414
12,295
13,108
14,120
15,274
16,96
17,351
18,198
19,99
20,22
21,200
22,48
23,122
24,363
25,202
26,77
27,296
28,291
29,297
30,118
31,439
32,339
33,275
34,76
35,79
36,233
37,0
38,307
39,384
40,407
41,62
42,299
43,66
44,245
45,177
46,145
47,88
48,220
49,206
50,221
51,146
52,322
53,256
54,422
55,277
56,227
57,23
58,334
59,98
60,50
61,336
62,278
63,148
64,208
65,279
66,162
67,255
68,176
69,47
70,179
71,30
72,316
73,430
74,209
75,281
76,32
77,283
78,182
79,80
80,328
81,399
82,67
83,226
84,308
85,247
86,27
87,310
88,276
89,101
90,82
91,249
92,389
93,51
94,33
95,83
96,386
97,64
98,124
99,126
100,211
101,438
102,121
103,156
104,52
105,416
106,181
107,257
108,128
109,282
110,323
111,324
112,213
113,12
114,103
115,167
116,258
117,341
118,215
119,250
120,85
121,408
122,17
123,284
124,286
125,246
126,374
127,5
128,390
129,45
130,41
131,100
132,353
133,312
134,228
135,410
136,350
137,129
138,40
139,359
140,173
141,433
142,25
143,105
144,437
145,230
146,424
147,13
148,150
149,326
150,404
151,195
152,86
153,92
154,251
155,35
156,265
157,412
158,375
159,340
160,57
161,131
162,423
163,210
164,392
165,232
166,104
167,69
168,342
169,193
170,376
171,298
172,183
173,102
174,152
175,133
176,54
177,396
178,4
179,400
180,216
181,160
182,338
183,46
184,309
185,134
186,243
187,394
188,197
189,377
190,107
191,135
192,42
193,43
194,169
195,65
196,234
197,364
198,218
199,434
200,343
201,229
202,289
203,425
204,132
205,19
206,149
207,68
208,28
209,431
210,2
211,158
212,388
213,9
214,352
215,288
216,6
217,127
218,109
219,366
220,37
221,217
222,151
223,236
224,260
225,253
226,136
227,355
228,93
229,74
230,238
231,393
232,15
233,123
234,368
235,313
236,345
237,34
238,157
239,125
240,397
241,147
242,137
243,401
244,259
245,199
246,398
247,239
248,329
249,178
250,164
251,18
252,21
253,382
254,428
255,14
256,261
257,370
258,409
259,371
260,111
261,113
262,436
263,166
264,403
265,59
266,165
267,168
268,325
269,344
270,184
271,186
272,378
273,231
274,285
275,311
276,78
277,63
278,405
279,346
280,421
281,39
282,381
283,426
284,170
285,290
286,357
287,55
288,185
289,287
290,87
291,219
292,172
293,163
294,180
295,191
296,280
297,379
298,24
299,302
300,201
301,254
302,267
303,369
304,203
305,237
306,29
307,56
308,262
309,301
310,358
311,331
312,268
313,427
314,241
315,411
316,174
317,327
318,89
319,144
320,315
321,354
322,294
323,204
324,330
325,194
326,306
327,367
328,248
329,71
330,333
331,189
332,391
333,317
334,348
335,383
336,225
337,10
338,84
339,360
340,263
341,8
342,235
343,418
344,266
345,272
346,81
347,138
348,61
349,314
350,187
351,361
352,95
353,153
354,49
355,196
356,223
357,372
358,242
359,292
360,16
361,91
362,269
363,273
364,347
365,53
366,380
367,429
368,154
369,252
370,97
371,155
372,335
373,240
374,356
375,319
376,36
377,20
378,395
379,222
380,365
381,90
382,415
383,432
384,130
385,26
386,159
387,140
388,205
389,139
390,44
391,106
392,58
393,244
394,112
395,419
396,303
397,175
398,114
399,332
400,413
401,142
402,318
403,115
404,212
405,7
406,116
407,188
408,117
409,420
410,385
411,70
412,402
413,373
414,387
415,321
416,270
417,293
418,161
419,305
420,73
421,119
422,337
423,143
424,207
425,60
426,171
427,406
428,72
429,271
430,224
431,1
432,435
433,11
434,110
435,3
436,214
437,75
438,304
